class,text
Negative,"This top is too short, so much so that tucking it in would be difficult. the designs are lovely, but the short length is putting this top back on the rack."
Negative,"I followed the reviews and bought a larger size in the blue stripe. i am usually a size 8 but ordered a 12 (ok, maybe overkill). i usually have problems with sleeves being too tight, but this was way too big and tent like. i will be hopefully exchanging it in store for a smaller size. stay tuned for an update!"
Positive,I bought this shirt in the black cat print. the material is very soft and it has a nice drape. i wear a size 32dd and worried that the size zero may be too small across the bust but it fits perfectly. i am 5 feet tall with a petite frame. the front of the shirt falls a few inches below my waistline and the back of the shirt is longer and provides plenty of coverage so it can be worn with skinny jeans. i can also wear this to work with a pair of slacks and it looks nice. i would actually love to
Negative,"I am totally on the fence with this shirt. like the other reviewers, i sized up because my normal 14 was too tight in the chest (a common problem for me). the arms are strangely tight and i didn't get much more room in the bust with the 16. but then the bottom of the shirt tents away and hangs funny. this is obviously meant for those with a very small bust who are on the slender side. i love the pattern and material though, so i'm going to visit my trusty seamstress and see if she can place dart"
Positive,"I am somewhat of a perennial sale-only retailer purchaser (often even when a promo code, i don't buy full price! lol!). when i saw this top i decided it was worth it. i got the penguin print - my 2-year-old squealed when she saw me pull it out of the box! thanks, retailer, for your woodland-inspired prints that enamor my little one.

maeve tends to run big, so i went with the 00. in my opinion, it fits true to size. i probably would have liked it just a little bigger, maybe the 0 would have been bes"
Positive,
Positive,"I had my eye on the skier blouse for awhile before i gave in to the purchase. love it for fit and graphics - those happy little skiers! i think many reviewers here don't realize this blouse has the cut of a swing style. it's not meant to be tailored for tucking in. if you want to tuck it you'll be wearing a high-waisted skirt or pant, cute also ;-)
rayon fabric is a good choice for the style being heavier than cotton and having a better drape over the chest. the sloping longer hemline toward the"
Positive,Such a cute top! i got the black with tiny car faces on it. absolutely adore it.
Negative,"The skiers, cats, and puffin patterns are adorable and i was very tempted to keep the shirts just for the patterns. unfortunately, the fit was awful. i am short and need to highlight my waist and this shirt did the opposite. the skier fabric is also see-through. the tenting issue could be fixed if you belt the shirt or tuck it in, but it is not very long. 100% rayon fabric is a bummer too. the shirt was snug at the bicep, but not as bad as i expected from the reviews. i sized up from an 8 to 10."
Positive,"I purchased the gray motif with the bright flower design. i have owned many blouses in my lifetime, but i must say this is one of the best fitting and most attractive of most any i have ever owned. it falls just right on my body and is smooth and luxurious with a silky feel. the cuffs fall on my wrists just perfectly. the color is just right for my fair skin and light hair. this was my first order from you and if this is any indication of the quality and fit i will receive i'll do a lot more ord"
